Category,Option 1,Option 2,Daily Range,10,15,20,25,30,35,U
No. 12 Wood Frame Exterior Walls with Sheathing and Siding or Brick Veneer or Other Exterior Finish,R-13,R-8 Sheathing,L,0.9,1.1,1.4,,,,0.05
No. 12 Wood Frame Exterior Walls with Sheathing and Siding or Brick Veneer or Other Exterior Finish,R-13,R-8 Sheathing,M,0.7,0.9,1.2,1.4,,,0.05
No. 12 Wood Frame Exterior Walls with Sheathing and Siding or Brick Veneer or Other Exterior Finish,R-13,R-8 Sheathing,H,,0.7,0.9,1.2,1.4,1.7,0.05
No. 12 Wood Frame Exterior Walls with Sheathing and Siding or Brick Veneer or Other Exterior Finish,R-19,"½"" Gypsum Board (R-0.5)",L,1.1,1.4,1.7,,,,0.06
No. 12 Wood Frame Exterior Walls with Sheathing and Siding or Brick Veneer or Other Exterior Finish,R-19,"½"" Gypsum Board (R-0.5)",M,0.8,1.1,1.4,1.7,,,0.06
No. 12 Wood Frame Exterior Walls with Sheathing and Siding or Brick Veneer or Other Exterior Finish,R-19,"½"" Gypsum Board (R-0.5)",H,,0.8,1.1,1.4,1.7,2,0.06
No. 12 Wood Frame Exterior Walls with Sheathing and Siding or Brick Veneer or Other Exterior Finish,R-19,"½"" Asphalt Board (R-1.3)",L,1,1.2,1.5,,,,0.055
No. 12 Wood Frame Exterior Walls with Sheathing and Siding or Brick Veneer or Other Exterior Finish,R-19,"½"" Asphalt Board (R-1.3)",M,0.7,1,1.3,1.6,,,0.055
No. 12 Wood Frame Exterior Walls with Sheathing and Siding or Brick Veneer or Other Exterior Finish,R-19,"½"" Asphalt Board (R-1.3)",H,,0.7,1,1.3,1.6,1.8,0.055
No. 12 Wood Frame Exterior Walls with Sheathing and Siding or Brick Veneer or Other Exterior Finish,R-19,"½"" Bead Board (R-1.8)",L,1,1.2,1.5,,,,0.055
No. 12 Wood Frame Exterior Walls with Sheathing and Siding or Brick Veneer or Other Exterior Finish,R-19,"½"" Bead Board (R-1.8)",M,0.7,1,1.3,1.6,,,0.055
No. 12 Wood Frame Exterior Walls with Sheathing and Siding or Brick Veneer or Other Exterior Finish,R-19,"½"" Bead Board (R-1.8)",H,,0.7,1,1.3,1.6,1.8,0.055
No. 12 Wood Frame Exterior Walls with Sheathing and Siding or Brick Veneer or Other Exterior Finish,R-19,"½"" or ?"" Extra Poly Board",L,0.9,1.1,1.4,,,,0.05
No. 12 Wood Frame Exterior Walls with Sheathing and Siding or Brick Veneer or Other Exterior Finish,R-19,"½"" or ?"" Extra Poly Board",M,0.7,0.9,1.2,1.4,,,0.05
No. 12 Wood Frame Exterior Walls with Sheathing and Siding or Brick Veneer or Other Exterior Finish,R-19,"½"" or ?"" Extra Poly Board",H,,0.7,0.9,1.2,1.4,1.7,0.05
No. 12 Wood Frame Exterior Walls with Sheathing and Siding or Brick Veneer or Other Exterior Finish,R-19,"?"" or 1"" Bead Board",L,0.9,1.1,1.4,,,,0.05
No. 12 Wood Frame Exterior Walls with Sheathing and Siding or Brick Veneer or Other Exterior Finish,R-19,"?"" or 1"" Bead Board",M,0.7,0.9,1.2,1.4,,,0.05
No. 12 Wood Frame Exterior Walls with Sheathing and Siding or Brick Veneer or Other Exterior Finish,R-19,"?"" or 1"" Bead Board",H,,0.7,0.9,1.2,1.4,1.7,0.05
No. 12 Wood Frame Exterior Walls with Sheathing and Siding or Brick Veneer or Other Exterior Finish,R-19,"1"" Extra Poly Board (R-5.0)",L,0.8,1,1.2,,,,0.045
No. 12 Wood Frame Exterior Walls with Sheathing and Siding or Brick Veneer or Other Exterior Finish,R-19,"1"" Extra Poly Board (R-5.0)",M,0.6,0.8,1.1,1.3,,,0.045
No. 12 Wood Frame Exterior Walls with Sheathing and Siding or Brick Veneer or Other Exterior Finish,R-19,"1"" Extra Poly Board (R-5.0)",H,,0.6,0.8,1.1,1.3,1.5,0.045
No. 12 Wood Frame Exterior Walls with Sheathing and Siding or Brick Veneer or Other Exterior Finish,R-19,R-8 Sheathing,L,0.7,0.9,1.1,,,,0.04
No. 12 Wood Frame Exterior Walls with Sheathing and Siding or Brick Veneer or Other Exterior Finish,R-19,R-8 Sheathing,M,0.5,0.7,0.9,1.1,,,0.04
No. 12 Wood Frame Exterior Walls with Sheathing and Siding or Brick Veneer or Other Exterior Finish,R-19,R-8 Sheathing,H,,0.5,0.7,0.9,1.1,1.3,0.04
No. 12 Wood Frame Exterior Walls with Sheathing and Siding or Brick Veneer or Other Exterior Finish,R-27 Wall,N/A,L,0.7,0.8,1,,,,0.037
No. 12 Wood Frame Exterior Walls with Sheathing and Siding or Brick Veneer or Other Exterior Finish,R-27 Wall,N/A,M,0.5,0.7,0.9,1.1,,,0.037
No. 12 Wood Frame Exterior Walls with Sheathing and Siding or Brick Veneer or Other Exterior Finish,R-27 Wall,N/A,H,,0.5,0.7,0.9,1.1,1.2,0.037
No. 12 Wood Frame Exterior Walls with Sheathing and Siding or Brick Veneer or Other Exterior Finish,R-30 Wall,N/A,L,0.6,0.7,0.9,,,,0.033
No. 12 Wood Frame Exterior Walls with Sheathing and Siding or Brick Veneer or Other Exterior Finish,R-30 Wall,N/A,M,0.4,0.6,0.8,0.9,,,0.033
No. 12 Wood Frame Exterior Walls with Sheathing and Siding or Brick Veneer or Other Exterior Finish,R-30 Wall,N/A,H,,0.4,0.6,0.8,0.9,1.1,0.033
No. 12 Wood Frame Exterior Walls with Sheathing and Siding or Brick Veneer or Other Exterior Finish,R-33 Wall,N/A,L,0.5,0.7,0.8,,,,0.03
No. 12 Wood Frame Exterior Walls with Sheathing and Siding or Brick Veneer or Other Exterior Finish,R-33 Wall,N/A,M,0.4,0.6,0.7,0.9,,,0.03
No. 12 Wood Frame Exterior Walls with Sheathing and Siding or Brick Veneer or Other Exterior Finish,R-33 Wall,N/A,H,,0.4,0.6,0.7,0.9,1,0.03
No. 13-A Wood Frame Partitions,None,"½"" Gypsum Board (R-0.5)",L,2.4,3.8,5.1,,,,0.271
No. 13-A Wood Frame Partitions,None,"½"" Gypsum Board (R-0.5)",M,1.4,2.7,4.1,5.4,,,0.271
No. 13-A Wood Frame Partitions,None,"½"" Gypsum Board (R-0.5)",H,,1.4,2.7,4.1,5.4,6.8,0.271
No. 13-A Wood Frame Partitions,None,"½"" Asphalt Board (R-1.3)",L,2,3,4.1,,,,0.217
No. 13-A Wood Frame Partitions,None,"½"" Asphalt Board (R-1.3)",M,1.1,2.2,3.3,4.3,,,0.217
No. 13-A Wood Frame Partitions,None,"½"" Asphalt Board (R-1.3)",H,,1.1,2.2,3.3,4.3,5.4,0.217
No. 13-A Wood Frame Partitions,R-11,"½"" Gypsum Board (R-0.5)",L,0.8,1.3,1.7,,,,0.09
No. 13-A Wood Frame Partitions,R-11,"½"" Gypsum Board (R-0.5)",M,0.4,9,1.3,1.8,,,0.09
No. 13-A Wood Frame Partitions,R-11,"½"" Gypsum Board (R-0.5)",H,,0.4,0.9,1.3,1.8,2.2,0.09
No. 13-A Wood Frame Partitions,R-11,"½"" Asphalt Board (R-1.3)",L,0.7,1.1,1.5,,,,0.08
No. 13-A Wood Frame Partitions,R-11,"½"" Asphalt Board (R-1.3)",M,0.4,0.8,1.2,1.6,,,0.08
No. 13-A Wood Frame Partitions,R-11,"½"" Asphalt Board (R-1.3)",H,,0.4,0.8,1.2,1.6,2,0.08
No. 13-A Wood Frame Partitions,R-11,"½"" Bead Board (R-1.8)",L,0.7,1.1,1.5,,,,0.08
No. 13-A Wood Frame Partitions,R-11,"½"" Bead Board (R-1.8)",M,0.4,0.8,1.2,1.6,,,0.08
No. 13-A Wood Frame Partitions,R-11,"½"" Bead Board (R-1.8)",H,,0.4,0.8,1.2,1.6,2,0.08
