Category,Option 1,Option 2,Daily Range,10,15,20,25,30,35,U
No. 18 Roof-Ceiling Combination,Light-Colored Roof,R-19 Batts,H,,1.3,1.5,1.8,2,2.3,0.049
No. 18 Roof-Ceiling Combination,Light-Colored Roof,"R-22 Batts (2"" x 8"" Rafters)",L,1.3,1.6,1.8,,,,0.045
No. 18 Roof-Ceiling Combination,Light-Colored Roof,"R-22 Batts (2"" x 8"" Rafters)",M,1.2,1.4,1.6,1.8,,,0.045
No. 18 Roof-Ceiling Combination,Light-Colored Roof,"R-22 Batts (2"" x 8"" Rafters)",H,,1.2,1.4,1.6,1.8,2.1,0.045
No. 18 Roof-Ceiling Combination,Light-Colored Roof,"R-26 Batts (2"" x 8"" Rafters)",L,1.2,1.4,1.6,,,,0.04
No. 18 Roof-Ceiling Combination,Light-Colored Roof,"R-26 Batts (2"" x 8"" Rafters)",M,1,1.2,1.4,1.6,,,0.04
No. 18 Roof-Ceiling Combination,Light-Colored Roof,"R-26 Batts (2"" x 8"" Rafters)",H,,1,1.2,1.4,1.6,1.8,0.04
No. 18 Roof-Ceiling Combination,Light-Colored Roof,"R-30 Batts (2"" x 10"" Rafters)",L,1,1.2,1.4,,,,0.035
No. 18 Roof-Ceiling Combination,Light-Colored Roof,"R-30 Batts (2"" x 10"" Rafters)",M,0.9,1.1,1.3,1.4,,,0.035
No. 18 Roof-Ceiling Combination,Light-Colored Roof,"R-30 Batts (2"" x 10"" Rafters)",H,,0.9,1.1,1.3,1.4,1.6,0.035
No. 18 Roof-Ceiling Combination,Dark-Colored Roof,No Insulation,L,10.9,12.3,13.8,,,,0.287
No. 18 Roof-Ceiling Combination,Dark-Colored Roof,No Insulation,M,9.8,11.2,12.6,14.1,,,0.287
No. 18 Roof-Ceiling Combination,Dark-Colored Roof,No Insulation,H,,9.8,11.2,12.6,14.1,15.5,0.287
No. 18 Roof-Ceiling Combination,Dark-Colored Roof,R-11 Batts,L,2.7,3.1,3.5,,,,0.072
No. 18 Roof-Ceiling Combination,Dark-Colored Roof,R-11 Batts,M,2.4,2.8,3.2,3.5,,,0.072
No. 18 Roof-Ceiling Combination,Dark-Colored Roof,R-11 Batts,H,,2.4,2.8,3.2,3.5,3.9,0.072
No. 18 Roof-Ceiling Combination,Dark-Colored Roof,R-19 Batts,L,1.9,2.1,2.4,,,,0.049
No. 18 Roof-Ceiling Combination,Dark-Colored Roof,R-19 Batts,M,1.7,1.9,2.2,2.4,,,0.049
No. 18 Roof-Ceiling Combination,Dark-Colored Roof,R-19 Batts,H,,1.7,1.9,2.2,2.4,2.6,0.049
No. 18 Roof-Ceiling Combination,Dark-Colored Roof,"R-22 Batts (2"" x 8"" Rafters)",L,1.7,1.9,2.2,,,,0.045
No. 18 Roof-Ceiling Combination,Dark-Colored Roof,"R-22 Batts (2"" x 8"" Rafters)",M,1.5,1.8,2,2.2,,,0.045
No. 18 Roof-Ceiling Combination,Dark-Colored Roof,"R-22 Batts (2"" x 8"" Rafters)",H,,1.5,1.8,2,2.2,2.4,0.045
No. 18 Roof-Ceiling Combination,Dark-Colored Roof,"R-26 Batts (2"" x 8"" Rafters)",L,1.5,1.7,1.9,,,,0.04
No. 18 Roof-Ceiling Combination,Dark-Colored Roof,"R-26 Batts (2"" x 8"" Rafters)",M,1.4,1.6,1.8,2,,,0.04
No. 18 Roof-Ceiling Combination,Dark-Colored Roof,"R-26 Batts (2"" x 8"" Rafters)",H,,1.4,1.6,1.8,2,2.2,0.04
No. 18 Roof-Ceiling Combination,Dark-Colored Roof,"R-30 Batts (2"" x 10"" Rafters)",L,1.3,1.5,1.7,,,,0.035
No. 18 Roof-Ceiling Combination,Dark-Colored Roof,"R-30 Batts (2"" x 10"" Rafters)",M,1.2,1.4,1.5,1.7,,,0.035
No. 18 Roof-Ceiling Combination,Dark-Colored Roof,"R-30 Batts (2"" x 10"" Rafters)",H,,1.2,1.4,1.5,1.7,1.9,0.035
No. 20 Floors over an Open Crawl Space or Garage,Hardwood Floor,No Insulation,L,3.5,5.4,7.3,,,,0.386
,Hardwood Floor,No Insulation,M,1.9,3.9,5.8,7.7,,,0.386
,Hardwood Floor,No Insulation,H,,1.9,3.9,5.8,7.7,9.6,0.386
,Hardwood Floor,R-11,L,0.8,1.2,1.6,,,,0.084
,Hardwood Floor,R-11,M,0.4,0.8,1.3,1.7,,,0.084
,Hardwood Floor,R-11,H,,0.4,0.8,1.3,1.7,2.1,0.084
,Hardwood Floor,R-13,L,0.7,1.1,1.4,,,,0.076
,Hardwood Floor,R-13,M,0.4,0.8,1.1,1.5,,,0.076
,Hardwood Floor,R-13,H,,0.4,0.8,1.1,1.5,1.9,0.076
,Hardwood Floor,R-19,L,0.5,0.8,1,,,,0.054
,Hardwood Floor,R-19,M,0.3,0.5,0.8,1.1,,,0.054
,Hardwood Floor,R-19,H,,0.3,0.5,0.8,1.1,1.3,0.054
,Hardwood Floor,R-30,L,0.3,0.5,0.7,,,,0.037
,Hardwood Floor,R-30,M,0.2,0.4,0.6,0.7,,,0.037
,Hardwood Floor,R-30,H,,0.2,0.4,0.6,0.7,1,0.037
,Carpet Floor,No Insulation,L,2.3,3.5,4.8,,,,0.253
,Carpet Floor,No Insulation,M,1.3,2.5,3.8,5.1,,,0.253
,Carpet Floor,No Insulation,H,,1.3,2.5,3.8,5.1,6.3,0.253
,Carpet Floor,R-11,L,0.7,1,1.4,,,,0.075
,Carpet Floor,R-11,M,0.4,0.8,1.1,1.5,,,0.075
,Carpet Floor,R-11,H,,0.4,0.8,1.1,1.5,1.9,0.075
,Carpet Floor,R-13,L,0.6,1,1.3,,,,0.068
,Carpet Floor,R-13,M,0.3,0.7,1,1.4,,,0.068
,Carpet Floor,R-13,H,,0.3,0.7,1,1.4,1.7,0.068
,Carpet Floor,R-19,L,0.4,0.7,0.9,,,,0.05
,Carpet Floor,R-19,M,0.2,0.5,0.7,1,,,0.05
,Carpet Floor,R-19,H,,0.2,0.5,0.7,1,1.2,0.05
,Carpet Floor,R-30,L,0.3,0.5,0.7,,,,0.035
,Carpet Floor,R-30,M,0.2,0.4,0.5,0.7,,,0.035
,Carpet Floor,R-30,H,,0.2,0.4,0.5,0.7,0.9,0.035
